Cohort,Row,PositionIdx,Move,Games,White %,Draw %,Black %,Freq,FEN,Rating,Ply,CohortPair
target,6,36,f8b4,38945,50.191295416613166,6.462960585441007,43.345743997945824,0.0144693793083974,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,2000,7,1600-2000
base,1,34,c1g5,133,49.62406015037594,1.5037593984962403,48.87218045112782,0.2387791741472172,rnbq1rk1/pppp1ppp/3b1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 3 7,1600,12,1600-2000
target,1,31,d4b5,2310,53.20346320346321,5.627705627705628,41.16883116883117,0.1911460488208523,r1bqkb1r/pp3ppp/2np1n2/4p3/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 7,2000,12,1600-2000
base,6,31,d4e2,136,57.35294117647059,3.6764705882352944,38.97058823529412,0.0110228562165667,r1bqkb1r/pp3ppp/2np1n2/4p3/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 7,1600,12,1600-2000
base,6,33,c7c6,60,48.333333333333336,8.333333333333332,43.333333333333336,0.033538289547233,rnbqk1nr/ppp2ppp/3b4/3Pp3/8/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 4,1600,7,1600-2000
base,6,34,c4c5,6,50.0,0.0,50.0,0.0107719928186714,rnbq1rk1/pppp1ppp/3b1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 3 7,1600,12,1600-2000
base,6,32,h2h3,226,50.0,6.1946902654867255,43.80530973451327,0.0204802899864068,r1bqkb1r/p4ppp/2pp1n2/4p3/2P1P3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 8,1600,14,1600-2000
target,2,36,c6d4,419460,37.11915319696753,6.40990797692271,56.47093882610976,0.1558435189292696,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,2000,7,1600-2000
target,2,37,d4b3,197292,52.08776838391825,4.803539930661152,43.1086916854206,0.1876674736156227,r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,2000,8,1600-2000
base,2,36,g8f6,1200929,47.62446406073965,4.764727973094162,47.61080796616619,0.114457515547509,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,1600,7,1600-2000
base,2,37,d4b3,136722,51.771477889439886,3.735316920466348,44.49320519009377,0.0548662153940983,r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,1600,8,1600-2000
target,11,32,a2a3,25,48.0,16.0,36.0,0.0039277297721916,r1bqkb1r/p4ppp/2pp1n2/4p3/2P1P3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 8,2000,14,1600-2000
target,10,32,d1c2,26,34.61538461538461,3.8461538461538463,61.53846153846154,0.0040848389630793,r1bqkb1r/p4ppp/2pp1n2/4p3/2P1P3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 8,2000,14,1600-2000
base,2,35,g8f6,13644,46.32072705951334,4.228965112870126,49.45030782761653,0.2070126993278611,rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,1600,5,1600-2000
target,2,33,g8e7,34,44.11764705882353,2.941176470588235,52.94117647058824,0.1545454545454545,rnbqk1nr/ppp2ppp/3b4/3Pp3/8/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 4,2000,7,1600-2000
target,10,36,f8e7,19094,40.69864879019588,6.32135749450089,52.979993715303245,0.0070940641549503,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,2000,7,1600-2000
base,3,37,c2c3,123941,44.70514196270806,4.096303886526654,51.19855415076528,0.0497372303079237,r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,1600,8,1600-2000
target,2,35,g8f6,10507,41.94346626058818,6.4718758922623,51.58465784714952,0.1988606253312135,rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,2000,5,1600-2000
base,2,34,c1e3,132,62.87878787878788,1.5151515151515151,35.60606060606061,0.236983842010772,rnbq1rk1/pppp1ppp/3b1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 3 7,1600,12,1600-2000
base,3,34,f1e2,63,36.507936507936506,3.1746031746031744,60.31746031746032,0.1131059245960502,rnbq1rk1/pppp1ppp/3b1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 3 7,1600,12,1600-2000
base,3,33,f7f5,191,54.9738219895288,1.5706806282722512,43.45549738219896,0.106763555058692,rnbqk1nr/ppp2ppp/3b4/3Pp3/8/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 4,1600,7,1600-2000
base,3,32,c1e3,679,51.25184094256259,5.89101620029455,42.85714285714285,0.0615314907113729,r1bqkb1r/p4ppp/2pp1n2/4p3/2P1P3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 8,1600,14,1600-2000
base,3,31,d4c2,1852,61.01511879049676,3.725701943844492,35.259179265658744,0.1501053655373642,r1bqkb1r/pp3ppp/2np1n2/4p3/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 7,1600,12,1600-2000
target,10,37,b2b3,105,20.0,1.9047619047619049,78.0952380952381,9.9877768635527e-05,r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,2000,8,1600-2000
base,2,33,g8e7,208,48.07692307692308,2.403846153846154,49.51923076923077,0.116266070430408,rnbqk1nr/ppp2ppp/3b4/3Pp3/8/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 4,1600,7,1600-2000
base,6,37,b1c3,4864,25.90460526315789,2.179276315789473,71.91611842105263,0.0019519117016785,r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,1600,8,1600-2000
base,6,36,g8e7,251670,44.70298406643621,4.489609409146899,50.8074065244169,0.0239860332607852,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,1600,7,1600-2000
base,6,35,d8a5,1689,43.043220840734165,4.973357015985791,51.983422143280045,0.0256262422430927,rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,1600,5,1600-2000
base,3,35,d8b6,5920,51.16554054054055,3.074324324324325,45.76013513513513,0.0898208135459497,rnbqkbnr/pp2pppp/2p5/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,1600,5,1600-2000
base,8,46,b7b6,305,35.40983606557377,3.934426229508197,60.65573770491803,0.0060777554151804,r1bq1rk1/ppp1ppbp/2np1np1/8/2PPP3/2N1BP2/PP1Q2PP/R3KBNR b KQ - 4 7,1800,13,1800-2200
target,0,41,d1d4,40325,50.65592064476131,8.87042777433354,40.47365158090515,0.8610381568552089,r1bqkbnr/pp1npppp/3p4/1B6/3pP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5,2200,8,1800-2200
target,0,42,e2e4,48481,49.9659660485551,7.518409273736102,42.51562467770879,0.4737340968164318,r1bqkb1r/pppn1ppp/3p1n2/4p3/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,2200,8,1800-2200
target,0,43,f1d3,1019,66.92836113837095,3.925417075564279,29.146221786064768,0.4786284640676373,r1b1k1nr/pp3ppp/1qn1p3/3pP3/1b1P4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 3 8,2200,14,1800-2200
target,0,48,f2f3,1320,47.95454545454545,6.666666666666667,45.37878787878788,0.4512820512820513,r1bq1rk1/pp1nppb1/2p2np1/3pN2p/3P1B1P/2N1P3/PPP1BPP1/R2QK2R w KQ - 0 9,2200,16,1800-2200
base,3,45,c2c3,54,48.14814814814815,11.11111111111111,40.74074074074074,0.1176470588235294,r2q1rk1/4bppp/p1npbn2/1ppNp3/4P3/P2P1N1P/BPP2PP1/R1BQ1RK1 w - - 2 11,1800,20,1800-2200
target,0,46,a7a6,15432,50.68688439606014,6.272680145152928,43.04043545878694,0.4612487670741549,r1bq1rk1/ppp1ppbp/2np1np1/8/2PPP3/2N1BP2/PP1Q2PP/R3KBNR b KQ - 4 7,2200,13,1800-2200
target,0,47,c6d4,5296,44.39199395770393,6.835347432024169,48.772658610271904,0.5259185700099305,r1bq1rk1/ppp2pbp/2np1np1/3Pp3/2P1P3/2N1BP2/PP1Q2PP/R3KBNR b KQ - 0 8,2200,15,1800-2200
base,8,47,a7a6,3,0.0,0.0,100.0,0.0001121956692471,r1bq1rk1/ppp2pbp/2np1np1/3Pp3/2P1P3/2N1BP2/PP1Q2PP/R3KBNR b KQ - 0 8,1800,15,1800-2200
target,0,45,c2c3,18,44.44444444444444,0.0,55.55555555555556,0.225,r2q1rk1/4bppp/p1npbn2/1ppNp3/4P3/P2P1N1P/BPP2PP1/R1BQ1RK1 w - - 2 11,2200,20,1800-2200
base,8,48,a2a3,13,46.15384615384615,7.6923076923076925,46.15384615384615,0.0069222577209797,r1bq1rk1/pp1nppb1/2p2np1/3pN2p/3P1B1P/2N1P3/PPP1BPP1/R2QK2R w KQ - 0 9,1800,16,1800-2200
base,10,44,g2g4,4,25.0,25.0,50.0,0.0098280098280098,2r1k2r/pp1bnppp/1qn1p3/3pP3/1b1P4/2NBBN2/PP3PPP/R2Q1RK1 w k - 9 11,1800,20,1800-2200
base,4,46,c8d7,1058,39.981096408317576,3.402646502835539,56.61625708884688,0.0210828368172488,r1bq1rk1/ppp1ppbp/2np1np1/8/2PPP3/2N1BP2/PP1Q2PP/R3KBNR b KQ - 4 7,1800,13,1800-2200
base,4,47,c6a5,42,21.428571428571427,4.761904761904762,73.80952380952381,0.0015707393694603,r1bq1rk1/ppp2pbp/2np1np1/3Pp3/2P1P3/2N1BP2/PP1Q2PP/R3KBNR b KQ - 0 8,1800,15,1800-2200
base,4,44,c3b5,13,53.84615384615385,23.07692307692308,23.07692307692308,0.0319410319410319,2r1k2r/pp1bnppp/1qn1p3/3pP3/1b1P4/2NBBN2/PP3PPP/R2Q1RK1 w k - 9 11,1800,20,1800-2200
base,10,43,d1d2,106,45.28301886792453,6.60377358490566,48.11320754716981,0.0025675184691776,r1b1k1nr/pp3ppp/1qn1p3/3pP3/1b1P4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 3 8,1800,14,1800-2200
base,10,45,d5e3,3,66.66666666666666,0.0,33.33333333333333,0.0065359477124183,r2q1rk1/4bppp/p1npbn2/1ppNp3/4P3/P2P1N1P/BPP2PP1/R1BQ1RK1 w - - 2 11,1800,20,1800-2200
target,2,49,g2g4,3,100.0,0.0,0.0,0.0319148936170212,r1bq1rk1/pp1nppb1/2p3p1/4N2p/3PpB1P/4P3/PPPQBPP1/R3K2R w KQ - 0 11,2200,20,1800-2200
target,2,48,g2g4,517,28.820116054158607,6.576402321083172,64.60348162475822,0.1767521367521367,r1bq1rk1/pp1nppb1/2p2np1/3pN2p/3P1B1P/2N1P3/PPP1BPP1/R2QK2R w KQ - 0 9,2200,16,1800-2200
target,2,47,c6b8,148,36.48648648648648,5.405405405405405,58.108108108108105,0.0146971201588877,r1bq1rk1/ppp2pbp/2np1np1/3Pp3/2P1P3/2N1BP2/PP1Q2PP/R3KBNR b KQ - 0 8,2200,15,1800-2200
base,10,42,c1e3,23,47.82608695652174,4.3478260869565215,47.82608695652174,0.0003312736752653,r1bqkb1r/pppn1ppp/3p1n2/4p3/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,1800,8,1800-2200
target,2,46,f8e8,1798,41.65739710789767,5.172413793103448,53.17018909899889,0.0537406222912992,r1bq1rk1/ppp1ppbp/2np1np1/8/2PPP3/2N1BP2/PP1Q2PP/R3KBNR b KQ - 4 7,2200,13,1800-2200
target,0,44,a1c1,29,82.75862068965517,0.0,17.24137931034483,0.4677419354838709,2r1k2r/pp1bnppp/1qn1p3/3pP3/1b1P4/2NBBN2/PP3PPP/R2Q1RK1 w k - 9 11,2200,20,1800-2200
target,0,49,e5d7,48,50.0,0.0,50.0,0.5106382978723404,r1bq1rk1/pp1nppb1/2p3p1/4N2p/3PpB1P/4P3/PPPQBPP1/R3K2R w KQ - 0 11,2200,20,1800-2200
target,1,43,f1e2,458,53.05676855895196,7.423580786026202,39.51965065502184,0.2151244715829027,r1b1k1nr/pp3ppp/1qn1p3/3pP3/1b1P4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 3 8,2200,14,1800-2200
base,3,43,c1e3,4999,54.83096619323865,4.600920184036808,40.56811362272455,0.1210851398813128,r1b1k1nr/pp3ppp/1qn1p3/3pP3/1b1P4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 3 8,1800,14,1800-2200
target,2,44,a2a3,9,66.66666666666666,11.11111111111111,22.22222222222222,0.1451612903225806,2r1k2r/pp1bnppp/1qn1p3/3pP3/1b1P4/2NBBN2/PP3PPP/R2Q1RK1 w k - 9 11,2200,20,1800-2200
target,1,42,c1g5,15794,53.16575914904394,7.11662656705078,39.71761428390528,0.1543317242861889,r1bqkb1r/pppn1ppp/3p1n2/4p3/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,2200,8,1800-2200
target,1,48,d1d2,759,52.83267457180501,8.563899868247695,38.6034255599473,0.2594871794871795,r1bq1rk1/pp1nppb1/2p2np1/3pN2p/3P1B1P/2N1P3/PPP1BPP1/R2QK2R w KQ - 0 9,2200,16,1800-2200
base,8,38,f2f3,912,42.54385964912281,3.070175438596491,54.38596491228071,0.0166950409138338,rnbqkb1r/pppp2pp/5n2/4pP2/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 1 4,1800,6,1800-2200
base,3,46,f6d7,1728,42.88194444444444,4.224537037037037,52.893518518518526,0.0344339716637108,r1bq1rk1/ppp1ppbp/2np1np1/8/2PPP3/2N1BP2/PP1Q2PP/R3KBNR b KQ - 4 7,1800,13,1800-2200
