Cohort,Row,PuzzleIdx,Move,Games,White %,Draw %,Black %,Freq,FEN,Rating,Ply,CohortPair
target,10,128,g8h6,175570,32.57048470695449,3.224354958136356,64.20516033490915,0.0036427947317017,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,1400,5,1000-1400
target,11,128,f8b4,167452,40.071781764326495,3.3161741872297736,56.612044048443735,0.0034743593063332,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,1400,5,1000-1400
base,1,126,c1e3,1375,44.581818181818186,4.509090909090909,50.90909090909091,0.2943695140226932,rnb1kb1r/ppp1pppp/8/8/3Pq3/8/PPP2PPP/R1BQKBNR w KQkq - 1 6,1000,10,1000-1400
base,0,129,d2d3,1432737,49.74248588540674,3.7410913517274977,46.51642276286576,0.2909297918261947,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,1000-1400
base,2,129,c2c3,898832,53.64684390408886,3.547047724157573,42.80610837175357,0.1825157071023657,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,1000-1400
base,3,129,b1c3,660107,49.442287386741846,4.2418880575421865,46.31582455571597,0.1340405057543805,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,1000-1400
base,4,129,f3g5,330957,38.82196176542572,2.7622923823940875,58.41574585218019,0.0672037164625621,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,1000-1400
base,5,129,b2b4,210144,54.568296025582455,2.827584894167809,42.60411908024974,0.0426715790640737,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,1000-1400
base,6,129,d2d4,203393,50.1084108105982,2.945037439833229,46.94655174956857,0.0413007294073547,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,1000,6,1000-1400
base,3,126,d1e2,627,46.411483253588514,7.496012759170653,46.09250398724083,0.1342324983943481,rnb1kb1r/ppp1pppp/8/8/3Pq3/8/PPP2PPP/R1BQKBNR w KQkq - 1 6,1000,10,1000-1400
